MatchNo,Teams,Date,Day,IST,UAE,Ground
1,Mumbai Indians (MI) Vs Chennai Super Kings (CSK),19.Sep.20,Saturday,7:30 PM IST,6:00 PM UAE,ABU DHABI
2,Delhi Capitals (DC) Vs Kings XI Punjab (KXIP),20.Sep.20,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
3,Sun Risers Hyderabad (SRH) Vs Royal Challengers Bangalore (RCB),21.Sep.20,Monday,7:30 PM IST,6:00 PM UAE,DUBAI
4,Rajasthan Royals (RR) Vs Chennai Super Kings (CSK),22.Sep.20,Tuesday,7:30 PM IST,6:00 PM UAE,SHARJAH
5,Kolkata Knight Riders (KKR) Vs Mumbai Indians (MI),23.Sep.20,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
6,Kings XI Punjab (KXIP) Vs Royal Challengers Bangalore (RCB),24.Sep.20,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
7,Chennai Super Kings (CSK) Vs Delhi Capitals (DC),25.Sep.20,Friday,7:30 PM IST,6:00 PM UAE,DUBAI
8,Kolkata Knight Riders (KKR) Vs Sun Risers Hyderabad (SRH),26.Sep.20,Saturday,7:30 PM IST,6:00 PM UAE,ABU DHABI
9,Rajasthan Royals (RR) Vs Kings XI Punjab (KXIP),27.Sep.20,Sunday,7:30 PM IST,6:00 PM UAE,SHARJAH
10,Royal Challengers Bangalore (RCB) Vs Mumbai Indians (MI),28.Sep.20,Monday,7:30 PM IST,6:00 PM UAE,DUBAI
11,Delhi Capitals (DC) Vs Sun Risers Hyderabad (SRH),29.Sep.20,Tuesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
12,Rajasthan Royals (RR) Vs Kolkata Knight Riders (KKR),30.Sep.20,Wednesday,7:30 PM IST,6:00 PM UAE,DUBAI
13,Kings XI Punjab (KXIP) Vs Mumbai Indians (MI),01.Oct.20,Thursday,7:30 PM IST,6:00 PM UAE,ABU DHABI
14,Chennai Super Kings (CSK) Vs Sun Risers Hyderabad (SRH),02.Oct.20,Friday,7:30 PM IST,6:00 PM UAE,DUBAI
15,Royal Challengers Bangalore (RCB) Vs Rajasthan Royals (RR),03.Oct.20,Saturday,3:30 PM IST,2:00 PM UAE,ABU DHABI
16,Delhi Capitals (DC) Vs Kolkata Knight Riders (KKR),03.Oct.20,Saturday,7:30 PM IST,6:00 PM UAE,SHARJAH
17,Mumbai Indians (MI) Vs Sun Risers Hyderabad (SRH),04.Oct.20,Sunday,3:30 PM IST,2:00 PM UAE,SHARJAH
18,Kings XI Punjab (KXIP) Vs Chennai Super Kings (CSK),04.Oct.20,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
19,Royal Challengers Bangalore (RCB) Vs Delhi Capitals (DC),05.Oct.20,Monday,7:30 PM IST,6:00 PM UAE,DUBAI
20,Mumbai Indians (MI) Vs Rajasthan Royals (RR),06.Oct.20,Tuesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
21,Kolkata Knight Riders (KKR) Vs Chennai Super Kings (CSK),07.Oct.20,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
22,Sun Risers Hyderabad (SRH) Vs Kings XI Punjab (KXIP),08.Oct.20,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
23,Rajasthan Royals (RR) Vs Delhi Capitals (DC),09.Oct.20,Friday,7:30 PM IST,6:00 PM UAE,SHARJAH
24,Kings XI Punjab (KXIP) Vs Kolkata Knight Riders (KKR),10.Oct.20,Saturday,3:30 PM IST,2:00 PM UAE,ABU DHABI
25,Chennai Super Kings (CSK) Vs Royal Challengers Bangalore (RCB),10.Oct.20,Saturday,7:30 PM IST,6:00 PM UAE,DUBAI
26,Sun Risers Hyderabad (SRH) Vs Rajasthan Royals (RR),11.Oct.20,Sunday,3:30 PM IST,2:00 PM UAE,DUBAI
27,Mumbai Indians (MI) Vs Delhi Capitals (DC),11.Oct.20,Sunday,7:30 PM IST,6:00 PM UAE,ABU DHABI
28,Royal Challengers Bangalore (RCB) Vs Kolkata Knight Riders (KKR),12.Oct.20,Monday,7:30 PM IST,6:00 PM UAE,SHARJAH
29,Sun Risers Hyderabad (SRH) Vs Chennai Super Kings (CSK),13.Oct.20,Tuesday,7:30 PM IST,6:00 PM UAE,DUBAI
30,Delhi Capitals (DC) Vs Rajasthan Royals (RR),14.Oct.20,Wednesday,7:30 PM IST,6:00 PM UAE,DUBAI
31,Royal Challengers Bangalore (RCB) Vs Kings XI Punjab (KXIP),15.Oct.20,Thursday,7:30 PM IST,6:00 PM UAE,SHARJAH
32,Mumbai Indians (MI) Vs Kolkata Knight Riders (KKR),16.Oct.20,Friday,7:30 PM IST,6:00 PM UAE,ABU DHABI
33,Rajasthan Royals (RR) Vs Royal Challengers Bangalore (RCB),17.Oct.20,Saturday,3:30 PM IST,2:00 PM UAE,DUBAI
34,Delhi Capitals (DC) Vs Chennai Super Kings (CSK),17.Oct.20,Saturday,7:30 PM IST,6:00 PM UAE,SHARJAH
35,Sun Risers Hyderabad (SRH) Vs Kolkata Knight Riders (KKR),18.Oct.20,Sunday,3:30 PM IST,2:00 PM UAE,ABU DHABI
36,Mumbai Indians (MI) Vs Kings XI Punjab (KXIP),18.Oct.20,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
37,Chennai Super Kings (CSK) Vs Rajasthan Royals (RR),19.Oct.20,Monday,7:30 PM IST,6:00 PM UAE,ABU DHABI
38,Kings XI Punjab (KXIP) Vs Delhi Capitals (DC),20.Oct.20,Tuesday,7:30 PM IST,6:00 PM UAE,DUBAI
39,Kolkata Knight Riders (KKR) Vs Royal Challengers Bangalore (RCB),21.Oct.20,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
40,Rajasthan Royals (RR) Vs Sun Risers Hyderabad (SRH),22.Oct.20,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
41,Chennai Super Kings (CSK) Vs Mumbai Indians (MI),23.Oct.20,Friday,7:30 PM IST,6:00 PM UAE,SHARJAH
42,Kolkata Knight Riders (KKR) Vs Delhi Capitals (DC),24.Oct.20,Saturday,3:30 PM IST,2:00 PM UAE,ABU DHABI
43,Kings XI Punjab (KXIP) Vs Sun Risers Hyderabad (SRH),24.Oct.20,Saturday,7:30 PM IST,6:00 PM UAE,DUBAI
44,Royal Challengers Bangalore (RCB) Vs Chennai Super Kings (CSK),24.Oct.20,Sunday,3:30 PM IST,2:00 PM UAE,DUBAI
45,Rajasthan Royals (RR) Vs Mumbai Indians (MI),25.Oct.20,Sunday,7:30 PM IST,6:00 PM UAE,ABU DHABI
46,Kolkata Knight Riders (KKR) Vs Kings XI Punjab (KXIP),26.Oct.20,Monday,7:30 PM IST,6:00 PM UAE,SHARJAH
47,Sun Risers Hyderabad (SRH) Vs Delhi Capitals (DC),27.Oct.20,Tuesday,7:30 PM IST,6:00 PM UAE,DUBAI
48,Mumbai Indians (MI) Vs Royal Challengers Bangalore (RCB),28.Oct.20,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
49,Chennai Super Kings (CSK) Vs Kolkata Knight Riders (KKR),29.Oct.20,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
50,Kings XI Punjab (KXIP) Vs Rajasthan Royals (RR),30.Oct.20,Friday,7:30 PM IST,6:00 PM UAE,ABU DHABI
